Rk,G,,Date,,Opp,W/L,Tm,Opp,FG,TRB,AST,STL,BLK,TOV,,,,,FG,TRB,AST,STL,BLK,TOV
59,59,Pre-Bubble,2/26/20,,LAC,L,92,102,34,48,29,8,3,16,,,,,,,,,,
60,60,Pre-Bubble,2/28/20,,DET,L,111,113,45,38,31,9,5,18,,,,,,,,,,
61,61,Pre-Bubble,2/29/20,,GSW,L,99,115,34,40,24,3,5,19,,,,,,,,,,
62,62,Pre-Bubble,3/3/20,,TOR,L,114,123,39,35,30,6,6,18,,,,,,,,,,
63,63,Pre-Bubble,3/6/20,,POR,W,127,117,45,47,29,9,4,12,,,,,,,,,,
64,64,Pre-Bubble,3/8/20,,MIL,W,140,131,47,47,30,6,4,14,,,,,,,,,,
65,65,Pre-Bubble,3/10/20,@,POR,L,105,121,35,43,26,3,5,14,,,,,,,,,,
66,66,In-Bubble,7/31/20,@,WAS,W,125,112,42,37,29,10,3,17,,,,,,,,,,
67,67,In-Bubble,8/2/20,,DAL,W,117,115,42,49,22,5,4,11,,,,,,,,,,
68,68,In-Bubble,8/4/20,@,LAC,W,117,115,45,44,25,5,0,8,,,,,,,,,,
69,69,In-Bubble,8/6/20,,IND,W,114,99,43,53,27,6,4,15,,,,,,,,,,
70,70,In-Bubble,8/8/20,@,MIA,W,119,112,44,52,27,5,4,11,,,,,,,,,,
71,71,In-Bubble,8/10/20,,OKC,W,128,101,42,53,29,11,7,19,,,,,,,,,,
72,72,In-Bubble,8/11/20,@,PHI,W,130,117,49,44,28,4,3,7,,,,,,,,,,
73,73,In-Bubble,8/13/20,,DAL,W,128,102,49,45,34,6,4,5,,,,,,,,,,
