id,When,date,,Opp,FG,TRB,AST,STL,BLK,TOV
52,Pre-Bubble,2/7/20,,HOU,41.03846154,43.71153846,26.98076923,7.75,4.057692308,14.30769231
53,Pre-Bubble,2/8/20,,DEN,40.98113208,43.66037736,26.94339623,7.735849057,4.056603774,14.28301887
54,Pre-Bubble,2/10/20,@,LAL,40.81481481,43.38888889,26.92592593,7.722222222,4.018518519,14.25925926
55,Pre-Bubble,2/12/20,,GSW,40.83636364,43.32727273,26.89090909,7.836363636,4.018181818,14.25454545
56,Pre-Bubble,2/21/20,@,TOR,40.78571429,43.16071429,26.92857143,7.910714286,4,14.30357143
57,Pre-Bubble,2/22/20,@,CHI,40.73684211,43.22807018,26.9122807,7.947368421,4,14.38596491
58,Pre-Bubble,2/24/20,@,UTA,40.87931034,43.13793103,27.01724138,7.982758621,3.948275862,14.36206897
59,Pre-Bubble,2/26/20,,LAC,40.76271186,43.22033898,27.05084746,7.983050847,3.93220339,14.38983051
60,Pre-Bubble,2/28/20,,DET,40.83333333,43.13333333,27.11666667,8,3.95,14.45
61,Pre-Bubble,2/29/20,,GSW,40.72131148,43.08196721,27.06557377,7.918032787,3.967213115,14.52459016
62,Pre-Bubble,3/3/20,,TOR,40.69354839,42.9516129,27.11290323,7.887096774,4,14.58064516
63,Pre-Bubble,3/6/20,,POR,40.76190476,43.01587302,27.14285714,7.904761905,4,14.53968254
64,Pre-Bubble,3/8/20,,MIL,40.859375,43.078125,27.1875,7.875,4,14.53125
65,Pre-Bubble,3/10/20,@,POR,40.76923077,43.07692308,27.16923077,7.8,4.015384615,14.52307692
66,In-Bubble,7/31/20,@,WAS,42,37,29,10,3,17
67,In-Bubble,8/2/20,,DAL,42,43,25.5,7.5,3.5,14
68,In-Bubble,8/4/20,@,LAC,43,43.33333333,25.33333333,6.666666667,2.333333333,12
69,In-Bubble,8/6/20,,IND,43,45.75,25.75,6.5,2.75,12.75
70,In-Bubble,8/8/20,@,MIA,43.2,47,26,6.2,3,12.4
71,In-Bubble,8/10/20,,OKC,43,48,26.5,7,3.666666667,13.5
72,In-Bubble,8/11/20,@,PHI,43.85714286,47.42857143,26.71428571,6.571428571,3.571428571,12.57142857
73,In-Bubble,8/13/20,,DAL,44.5,47.125,27.625,6.5,3.625,11.625
